CustomerID,SimilarCustomers
C0001,"[('C0157', 0.97), ('C0051', 0.95), ('C0045', 0.95)]"
C0002,"[('C0159', 0.99), ('C0178', 0.98), ('C0133', 0.97)]"
C0003,"[('C0170', 0.97), ('C0031', 0.97), ('C0195', 0.96)]"
C0004,"[('C0012', 0.96), ('C0075', 0.96), ('C0148', 0.96)]"
C0005,"[('C0007', 0.99), ('C0197', 0.95), ('C0157', 0.93)]"
C0006,"[('C0082', 0.96), ('C0135', 0.96), ('C0024', 0.95)]"
C0007,"[('C0005', 0.99), ('C0127', 0.94), ('C0163', 0.94)]"
C0008,"[('C0093', 0.96), ('C0149', 0.96), ('C0143', 0.95)]"
C0009,"[('C0198', 0.99), ('C0032', 0.86), ('C0033', 0.81)]"
C0010,"[('C0042', 0.97), ('C0077', 0.97), ('C0056', 0.96)]"
C0011,"[('C0027', 0.97), ('C0016', 0.96), ('C0101', 0.95)]"
C0012,"[('C0065', 0.98), ('C0113', 0.97), ('C0148', 0.97)]"
C0013,"[('C0156', 0.98), ('C0034', 0.96), ('C0141', 0.96)]"
C0014,"[('C0060', 1.0), ('C0080', 0.89), ('C0151', 0.88)]"
C0015,"[('C0123', 0.93), ('C0151', 0.91), ('C0110', 0.9)]"
C0016,"[('C0117', 0.98), ('C0011', 0.96), ('C0099', 0.96)]"
C0017,"[('C0064', 0.99), ('C0075', 0.98), ('C0047', 0.97)]"
C0018,"[('C0068', 0.96), ('C0125', 0.95), ('C0122', 0.95)]"
C0019,"[('C0070', 0.97), ('C0125', 0.94), ('C0191', 0.94)]"
C0020,"[('C0130', 0.9), ('C0140', 0.88), ('C0050', 0.83)]"
